O. Reg. 114/99 (Family Law Rules) â€” TABLE OF FORMS
Source: https://www.ontario.ca/laws/docs/990114_e.doc
Consolidation period: from 2026-05-01 to the e-Laws currency date
Extracted with antiword, 2026-09-13. Verbatim block, unedited below this line.
----------------------------------------------------------------------
                               TABLE OF FORMS

|FORM NUMBER |FORM TITLE                                    |DATE OF FORM     |
|33A         |WARRANT TO BRING A CHILD TO A PLACE OF SAFETY |MARCH 1, 2018    |
|33B         |PLAN OF CARE FOR CHILD(REN) (CHILDREN'S AID   |MARCH 1, 2018    |
|            |SOCIETY)                                      |                 |
|33B.1       |ANSWER AND PLAN OF CARE (PARTIES OTHER THAN   |DECEMBER 1, 2020 |
|            |CHILDREN'S AID SOCIETY)                       |                 |
|33B.2       |ANSWER (CHILD, YOUTH AND FAMILY SERVICES ACT, |MARCH 1, 2018    |
|            |2017 CASES OTHER THAN CHILD PROTECTION AND    |                 |
|            |STATUS REVIEW)                                |                 |
|33C         |STATEMENT OF AGREED FACTS (CHILD PROTECTION)  |MARCH 1, 2018    |
|33D         |STATEMENT OF AGREED FACTS (STATUS REVIEW)     |MARCH 1, 2018    |
|33E         |CHILD'S CONSENT TO SECURE TREATMENT           |SEPTEMBER 1, 2005|
|33F         |CONSENT TO SECURE TREATMENT (PERSON OTHER THAN|MAY 1, 2021      |
|            |CHILD)                                        |                 |
|34          |CHILD'S CONSENT TO ADOPTION                   |NOVEMBER 1, 2018 |
|34A         |AFFIDAVIT OF PARENTAGE                        |DECEMBER 1, 2020 |
|34B         |NON-PARENT'S CONSENT TO ADOPTION BY SPOUSE    |MARCH 1, 2018    |
|34C         |DIRECTOR'S OR LOCAL DIRECTOR'S STATEMENT ON   |MARCH 1, 2018    |
|            |ADOPTION                                      |                 |
|34D         |AFFIDAVIT OF ADOPTION APPLICANT(S),           |MARCH 1, 2018    |
|            |SWORN/AFFIRMED                                |                 |
|34E         |DIRECTOR'S CONSENT TO ADOPTION                |MARCH 1, 2018    |
|34F         |PARENT'S OR CUSTODIAN'S CONSENT TO ADOPTION   |DECEMBER 1, 2020 |
|34G         |AFFIDAVIT OF ADOPTION LICENSEE OR SOCIETY     |DECEMBER 1, 2020 |
|            |EMPLOYEE                                      |                 |
|34G.1       |AFFIDAVIT OF SOCIETY EMPLOYEE FOR ADOPTION OF |MARCH 1, 2018    |
|            |A CHILD IN EXTENDED SOCIETY CARE              |                 |
|34H         |AFFIDAVIT OF APPLICANT TO A FAMILY ADOPTION   |MAY 26, 2025     |
|34H.1       |AFFIDAVIT OF PERSON OVER 18 LIVING WITH       |MAY 26, 2025     |
|            |APPLICANT TO A FAMILY ADOPTION                |                 |
|34I         |PARENT'S CONSENT TO ADOPTION BY SPOUSE        |DECEMBER 1, 2020 |
|34J         |AFFIDAVIT OF EXECUTION AND INDEPENDENT LEGAL  |NOVEMBER 1, 2018 |
|            |ADVICE (CHILDREN'S LAWYER)                    |                 |
|34K         |CERTIFICATE OF CLERK (ADOPTION)               |MAY 26, 2025     |
|34L         |APPLICATION FOR OPENNESS ORDER                |MARCH 1, 2018    |
|34M         |CONSENT TO OPENNESS ORDER UNDER S. 194 OF THE |MARCH 1, 2018    |
|            |CHILD, YOUTH AND FAMILY SERVICES ACT, 2017    |                 |
|34M.1       |CONSENT TO OPENNESS ORDER UNDER S. 196 OR 197 |MARCH 1, 2018    |
|            |OF THE CHILD, YOUTH AND FAMILY SERVICES ACT,  |                 |
|            |2017                                          |                 |
|34N         |APPLICATION TO CHANGE OR TERMINATE OPENNESS   |MARCH 1, 2018    |
|            |ORDER                                         |                 |
|35.1        |AFFIDAVIT (DECISION-MAKING RESPONSIBILITY,    |SEPTEMBER 1, 2021|
|            |PARENTING TIME, CONTACT)                      |                 |
|35.1A       |AFFIDAVIT (CHILD PROTECTION INFORMATION)      |DECEMBER 1, 2020 |
|36          |AFFIDAVIT FOR DIVORCE                         |APRIL 1, 2024    |
|36A         |CERTIFICATE OF CLERK (DIVORCE)                |DECEMBER 1, 2020 |
|36B         |CERTIFICATE OF DIVORCE                        |SEPTEMBER 1, 2005|
|37          |NOTICE OF HEARING                             |APRIL 1, 2024    |
|37A         |INFORMATION SHEET                             |APRIL 1, 2024    |
|37B         |DIRECTION TO REQUEST FURTHER INFORMATION      |APRIL 1, 2024    |
|37C         |NOTICE OF CONTINUATION OF HEARING             |APRIL 1, 2024    |
|37D         |NOTICE OF REGISTRATION OF ORDER               |APRIL 1, 2024    |
|37E         |NOTICE FOR TAKING FURTHER EVIDENCE            |SEPTEMBER 1, 2005|
|38          |NOTICE OF APPEAL                              |SEPTEMBER 1, 2005|
|39          |NOTICE OF APPROACHING DISMISSAL               |JUNE 15, 2007    |
|43          |BINDING JUDICIAL DISPUTE RESOLUTION HEARING   |SEPTEMBER 24,    |
|            |REQUEST AND CONSENT                           |2024             |
|43A         |BINDING JUDICIAL DISPUTE RESOLUTION HEARING   |SEPTEMBER 24,    |
|            |REQUEST AND CONSENT - OFFICE OF THE CHILDREN'S|2024             |
|            |LAWYER                                        |                 |
|43B         |AFFIDAVIT FOR BINDING JUDICIAL DISPUTE        |SEPTEMBER 24,    |
|            |RESOLUTION HEARING                            |2024             |
|43C         |CONFIRMATION OF BINDING JUDICIAL DISPUTE      |SEPTEMBER 24,    |
|            |RESOLUTION HEARING                            |2024             |


